tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8840041'. Expected 'lv.s        S101, 0x40($a0)', got 'lv.s        0x24, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8850041'. Expected 'lv.s        S111, 0x40($a0)', got 'lv.s        0x25, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8860041'. Expected 'lv.s        S121, 0x40($a0)', got 'lv.s        0x26, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8870041'. Expected 'lv.s        S131, 0x40($a0)', got 'lv.s        0x27, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8880041'. Expected 'lv.s        S201, 0x40($a0)', got 'lv.s        0x28, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8890041'. Expected 'lv.s        S211, 0x40($a0)', got 'lv.s        0x29, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88A0041'. Expected 'lv.s        S221, 0x40($a0)', got 'lv.s        0x2A, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88B0041'. Expected 'lv.s        S231, 0x40($a0)', got 'lv.s        0x2B, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88C0041'. Expected 'lv.s        S301, 0x40($a0)', got 'lv.s        0x2C, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88D0041'. Expected 'lv.s        S311, 0x40($a0)', got 'lv.s        0x2D, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88E0041'. Expected 'lv.s        S321, 0x40($a0)', got 'lv.s        0x2E, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88F0041'. Expected 'lv.s        S331, 0x40($a0)', got 'lv.s        0x2F, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8900041'. Expected 'lv.s        S401, 0x40($a0)', got 'lv.s        0x30, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8910041'. Expected 'lv.s        S411, 0x40($a0)', got 'lv.s        0x31, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8920041'. Expected 'lv.s        S421, 0x40($a0)', got 'lv.s        0x32, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8930041'. Expected 'lv.s        S431, 0x40($a0)', got 'lv.s        0x33, 0x40($a0)'
